sample,temp,type,batch
Culture_Control.1,control,culture,a
Culture_Control.1.1,control,culture,a
Culture_Control.2,control,culture,a
Culture_Control.2.1,control,culture,a
Culture_Control.3,control,culture,a
Culture_Control.3.1,control,culture,a
Culture_Control.4,control,culture,a
Culture_Control.4.1,control,culture,a
Culture_Cool.1,cold,culture,a
Culture_Cool.2,cold,culture,a
Culture_Cool.3,cold,culture,a
Culture_Cool.4,cold,culture,a
Culture_Heat.1,heat,culture,a
Culture_Heat.1.1,heat,culture,a
Culture_Heat.2,heat,culture,a
Culture_Heat.2.1,heat,culture,a
Culture_Heat.3,heat,culture,a
Culture_Heat.3.1,heat,culture,a
Culture_Heat.4,heat,culture,a
Culture_Heat.4.1,heat,culture,a
OC4_F_B.host,cold,brown_host,b
OC4_F_B.sym,cold,sym_inhost,b
OC5_H_B.host,heat,brown_host,b
OC5_H_B.sym,heat,sym_inhost,b
OC9_C_B.host,control,brown_host,b
OC9_C_B.sym,control,sym_inhost,b
OD4_C_B.host,control,brown_host,b
OD4_C_B.sym,control,sym_inhost,b
OD5_F_B.host,cold,brown_host,b
OD5_F_B.sym,cold,sym_inhost,b
OD6_H_B.host,heat,brown_host,b
OD6_H_B.sym,heat,sym_inhost,b
OE10_F_W.host,cold,white_host,b
OE11_C_W.host,control,white_host,b
OE3_H_W.host,heat,white_host,b
OF7_C_B.host,control,brown_host,b
OF7_C_B.sym,control,sym_inhost,b
OF8_F_B.host,cold,brown_host,b
OF8_F_B.sym,cold,sym_inhost,b
OF9_H_B.host,heat,brown_host,b
OF9_H_B.sym,heat,sym_inhost,b
OH1_C_W.host,control,white_host,b
OH11_F_W.host,cold,white_host,b
OH15_H_W.host,heat,white_host,b
OI1_C_B.host,control,brown_host,b
OI1_C_B.sym,control,sym_inhost,b
OI2_F_B.host,cold,brown_host,b
OI2_F_B.sym,cold,sym_inhost,b
OI3_H_B.host,heat,brown_host,b
OI3_H_B.sym,heat,sym_inhost,b
OJ13_C_B.host,control,brown_host,b
OJ13_C_B.sym,control,sym_inhost,b
OJ14_F_B.host,cold,brown_host,b
OJ14_F_B.sym,cold,sym_inhost,b
OJ15_H_B.host,heat,brown_host,b
OJ15_H_B.sym,heat,sym_inhost,b
OL6_C_B.host,control,brown_host,b
OL6_C_B.sym,control,sym_inhost,b
OL7_F_B.host,cold,brown_host,b
OL7_F_B.sym,cold,sym_inhost,b
OL8_H_B.host,heat,brown_host,b
OL8_H_B.sym,heat,sym_inhost,b
ON4_C_W.host,control,white_host,b
ON5_F_W.host,cold,white_host,b
ON6_H_W.host,heat,white_host,b
OQ1_C_W.host,control,white_host,b
OQ11_H_W.host,heat,white_host,b
OQ4_F_W.host,cold,white_host,b
OR7_C_B.host,control,brown_host,b
OR7_C_B.sym,control,sym_inhost,b
OR8_F_B.host,cold,brown_host,b
OR8_F_B.sym,cold,sym_inhost,b
OR9_H_B.host,heat,brown_host,b
OR9_H_B.sym,heat,sym_inhost,b
